Designator,Mid X,Mid Y,Rotation,Layer
C1,148.95,-115.5,270.0,top
C2,146.75,-115.5,270.0,top
C3,148.95,-109.8125,90.0,top
C4,171.1125,-94.4,180.0,top
C5,166.25,-92.5,90.0,top
D1,152.56,-122.25,0.0,top
D2,147.44,-122.25,180.0,top
D3,167.4,-107.8,0.0,top
D4,167.41,-105.8,0.0,top
D5,160.15,-92.2,0.0,top
D6,156.0,-96.8,0.0,top
D7,158.0,-82.25,225.0,top
D8,158.25,-83.5,225.0,top
FB2,164.0,-92.5,90.0,top
Q1,135.064064,-109.53,210.0,top
Q2,132.31,-101.7,180.0,top
Q3,159.94,-96.8,180.0,top
R1,169.756048,-89.106048,315.0,top
R10,164.25,-104.25,270.0,top
R11,165.2875,-96.8,0.0,top
R12,133.25,-93.25,330.0,top
R13,134.5,-91.0,330.0,top
R2,169.156048,-89.656048,315.0,top
R3,146.75,-111.8125,90.0,top
R4,147.2875,-95.2,180.0,top
R5,152.0875,-92.6,0.0,top
R6,139.9125,-90.0,0.0,top
R7,152.5875,-120.0,0.0,top
R8,147.4125,-120.0,180.0,top
R9,167.4,-110.0,0.0,top
S1,139.85,-84.45,270.0,top
U1,164.886748,-85.113252,135.0,top
U2,150.025,-81.725,0.0,top
U3,156.0,-111.4,0.0,top
U4,150.0,-100.0,0.0,top
U5,165.5,-100.0,270.0,top
U6,171.0,-100.1,0.0,top
